T_A1_001_0101|[ana]잘 생각해 보세요 형사님, 니아가 언제 마이크에 독을 바를 시간이 있었겠어요?
T_A1_001_0102|[ana]내 손에 독이 묻어있다면 내 점퍼에도 마찬가지로 묻어 있겠지, 그러니까 독이 묻었다는 게 증거가 될 순 없어!
T_A1_001_0103|[ana]그 옷은 자신의 옷이 아니라, 증거를 없애기 위해 자신의 옷과 바꿔치기한 옷이니까요!
T_A1_001_0104|[ana]점퍼에 들어 있는 라이터가, 매니저가 범인이라는 결정적인 증거입니다!
T_A1_001_0105|[ana]그는 처음부터 나를 조롱하려고 날 스카우트한 거예요, 그래서 용서할 수 없었다고요!
T_A1_001_0106|[ana]이게 무슨 짓이야, 안 그래도 막히는 도로에서 갑자기 급브레이크를 밟으면 어떡해?
T_A1_001_0107|[ana]뭐하고 있어, 빨리 저 애를 잡아, 앞에 비켜, 비키라고, 누가 놓칠 줄 알고!
T_A1_001_0108|[ana]젠장, 뭐가 위험한 생각이라는 거야, 사람을 미친 사람 취급이나 하고, 어디 두고 봐.
T_A1_001_0109|[ana]지금까지 인류가 위험을 피해 왔다고 해서 앞으로 잘 피할 수 있을 거라 생각하는 건가, 나 같은 천재의 도움 없이?
T_A1_001_0110|[ana]인류의 진화가 필요한 시점이야, 이런 때일수록 저 녀석들처럼 미개한 유전자는 남길 필요가 없어.
T_A1_001_0111|[ana]애당초 이 계획은 뛰어난 유전자를 가진 나를 위한 계획이었어, 그러니까 무슨 일이 있더라도 실행해야 해.
T_A1_001_0112|[ana]이런 바보 같은 일이, 내가 준비한 최정예 부대가 다 당하다니, 하, 내가 널 너무 만만히 봤군.
T_A1_001_0113|[ana]화가 풀렸냐고, 너 같으면 겨우 이 정도 때려부쉈다고 해서 화가 풀릴 거 같냐?
T_A1_001_0114|[ana]날뛰고 싶어, 더 날뛰고 싶어 몸 속 에너지가 막 끓어올라, 세상을 다 부수고 싶다!
T_A1_001_0115|[ana]방금 부딪쳤으면 당할 뻔했어, 뭐지, 내 온 몸이 지금 위험신호를 보내고 있어, 도망쳐야 돼!
T_A1_001_0116|[ana]이 녀석, 그렇게나 막강한 파워를 어디서 손에 넣은 거냐?
T_A1_001_0117|[ana]뭐라고, 우리 공주님한테 접근하는 벌레같은 놈이 감히 우리집에 찾아왔단 말이야, 두들겨 패서 내쫓아 주겠다!
T_A1_001_0118|[ana]안 될 건 또 뭔데, 서울에 가서 알바 하면서 대학도 다니고 잘해 낼 거야, 자신 있어!
T_A1_001_0119|[ana]아냐, 알아, 만나면 또 마음이 기울거 같아서 두려워하는 거잖아, 난 알 수 있어.
T_A1_001_0120|[ana]그냥 날 좀 내버려 둬, 이놈이고 저놈이고 왜 상관하지 못해 안달인 거야?
T_A1_001_0121|[ana]친구들 눈에 띄고 싶지 않아, 그냥 조용히 지내고 싶어, 제발
T_A1_001_0122|[ana]그래도 역시 노력해서 차지해 온 전교 일 등 자리를 누군가에게 넘겨주는 건 약 올라.
T_A1_001_0123|[ana]너 혹시 나 몰래 공부한 거 아냐, 난 등수가 십 등이나 떨어졌는데 넌 겨우 한 계단 떨어졌다고?
T_A1_001_0124|[ana]저는 신사입니다, 그따위 얄팍한 술수에는 전혀 걸려들지 않습니다!
T_A1_001_0125|[ana]도련님, 저런 바보랑 같이 있으면 바보균이 옮아 도련님도 바보가 된다고요!
T_A1_001_0126|[ana]제 말에 따르는 것만이 진정한 마을의 지도자가 되는 길이라는 걸 왜 모르냔 말씀입니다!
T_A1_001_0127|[ana]저리 비키지 못해, 거기는 내가 처음부터 점찍어 놓은 내 자리란 말야!
T_A1_001_0128|[ana]뭐야, 저 눈빛은, 마치 사랑에 빠진 것 같은 눈이잖아, 감히 나를 앞에 두고, 이글이글!
T_A1_001_0129|[ana]이건 뭔가 잘못됐어요, 우리 반에서 최고로 우수한 제가 왜 저딴 놈이랑 같은 조냐고요?
T_A1_001_0130|[ana]아니, 어떻게 내가 묶은 매듭을 풀고 여기 있는 거지, 분명 제대로 꽉 묶었는데, 너 내 매듭에 무슨 짓을 한 거야?
T_A1_001_0131|[ana]너 바보구나, 몇 번을 반복했는데도 매번 등 뒤를 빼앗기다니, 그러고도 너가 마법학교 학생이라 할 수 있을까?
T_A1_001_0132|[ana]너한테 다른 사람의 마음을 헤아려 선물을 사는 그런 센스가 있을 리 만무하겠지만.
T_A1_001_0133|[ana]어서 빨리 찾아내, 경찰에서 먼저 손을 쓰면 일이 귀찮아진다고.
T_A1_001_0134|[ana]내 방식대로 일처리를 하려고 하는데 자꾸 이렇게 딴지를 걸면, 곧 시체가 한 구 더 늘어나게 될 거야.
T_A1_001_0135|[ana]이 어르신을 얕잡아 본 걸 뼈저리게 후회하게 만들어 주마, 각오해라, 꼬마 탐정!
T_A1_001_0136|[ana]찾아보고 싶으면 실컷 찾아보시오, 어처구니가 없구만, 애들 말만 듣고, 쯧쯧.
T_A1_001_0137|[ana]그렇게 게으르고 지저분하고 여자만 밝히는 데다 술만 마시면 고주망태가 되는 네 아빠 같은 사람, 딱 질색이야!
T_A1_001_0138|[ana]어휴, 아빠, 그러게 내가 뭐랬어요, 이런 산길은 피해서 오자고 했잖아요!
T_A1_001_0139|[ana]그 사건은 두 번 다시 입 밖에 내지 않기로 약속하지 않았느냐!
T_A1_001_0140|[ana]너의 비밀을 내가 알까 봐 두려워 숨기고 있나 본데, 상관없어, 뭐가 됐든 지금 여기서 파괴할 테니까.
T_A1_001_0141|[ana]가자, 이 도시 최고 부자의 저택을 박살내서 우리가 장난이 아니라는 것을 보여 주자.
T_A1_001_0142|[ana]낄낄낄, 겨우 그걸로 나를 맞히려고, 왜, 내가 눈에 보이지 않아서 속도를 못 따라잡겠나?
T_A1_001_0143|[ana]네놈 같은 바보가 이 슈트의 진정한 가치를 어떻게 안다고 감히 내 앞에서 비웃어?
T_A1_001_0144|[ana]아냐, 틀렸어, 너가 찾던 악당은 이미 도망갔고, 난 취미로 히어로나 하고 있는 사람이라니까, 믿어줘!
T_A1_001_0145|[ana]그건 내 자존심이 허락하지 못해, 그런 의미로 너가 악당이든 아니든 여기서 널 처리해야겠어.
T_A1_001_0146|[ana]난 중대한 문제를 알게 돼서 열받았어, 오늘은 이 일로도 머리가 복잡할 예정이야, 그러니까 꺼져!
T_A1_001_0147|[ana]세상 사람들이 슬슬 날 알아볼 때가 됐다고 생각했는데 어제 걔가 그러더라, 너 누구냐고.
T_A1_001_0148|[ana]선생님, 설마 영웅 명부에 등록하지 않으신 건가요, 등록 없이 활동하다니 알고 보면 꼴통 아니에요?
T_A1_001_0149|[ana]너희 둘 다 우리 학교를 빛내줄 거라 기대가 많았는데, 이번 중간고사 성적은 어떻게 된 거지?
T_A1_001_0150|[ana]그런데 이상한 소문이 돌더구나, 중간고사 전 중요한 시기에 너희가 자주 외출을 했다는 소문이.
T_A1_001_0151|[ana]학생이 공부를 게을리하고 학업 외에 다른 것에 신경을 쓴다는 것, 그것이 바로 학생 의무 태만이 아닐까?
T_A1_001_0152|[ana]선생님, 지금 저희한테 하시는 말씀을 듣다 보니, 이건 취조하시는 겁니까?
T_A1_001_0153|[ana]그렇다면 지금 저희가 질문에 답할 의무는 없다고 보는데요.
T_A1_001_0154|[ana]공부 좀 한다고 오냐오냐 봐줬더니 지금 선생님한테 하는 말버르장머리 하고는, 쯧쯧
T_A1_001_0155|[ana]너희들은 장래가 유망한 학생들이야, 앞으로를 위해서도 지금은 학업을 우선시하는 게 맞아.
T_A1_001_0156|[ana]크크크, 저 선생님도 내게 흐물흐물 녹은 거 같군, 우등생이라는 건 역시 여러모로 유리하다니까.
T_A1_001_0157|[ana]선생님이 무엇을 걱정하는지는 잘 알겠지만 이렇게까지 저희들을 간섭하시는 건 납득이 안 돼요.
T_A1_001_0158|[ana]뭐가 두 걸음 앞을 보라는 거야, 다신 선생님의 뻔한 술수에 걸려들지 않겠어!
T_A1_001_0159|[ana]젠장할, 바로 밑에 똑같은 함정이 또 있었을 줄이야!
T_A1_001_0160|[ana]너희들 모두 임무를 수행할 자격이 없단 말이다, 그러니 여기서 당장 때려쳐라!
T_A1_001_0161|[ana]잠깐만, 방울은 두 개인데 무슨 팀워크를 보는 시험이에요, 애당초 말이 안 되는 시험이잖아요!
T_A1_001_0162|[ana]당연하지, 이건 일부러 그렇게 꾸민 시험이니까, 그걸 간파하지 못한 건 너희들의 무능이다.
T_A1_001_0163|[ana]시끄럿, 이 몸은 장차 이 마을의 지도자가 되실 몸이다, 날 함부로 봤다간 큰코다칠 거라고!
T_A1_001_0164|[ana]여어 다친 덴 없냐, 겁쟁아!
T_A1_001_0165|[ana]물 속으로 잠시 도망쳤다 생각했겠지만, 크크큭, 그게 바로 나의 함정이었다!
T_A1_001_0166|[ana]혼자서 도대체 뭘 하겠다는 거야, 너가 아무리 덤벼도 저 사람은 꿈쩍도 하지 않아!
T_A1_001_0167|[ana]안 돼 건들면 안 돼, 그렇게 되면 여태껏 맞춰 놓은 내 패가 엉망이 된단 말야!
T_A1_001_0168|[ana]무례한 것도 정도가 있지, 어디 사람 면전에 대고 담배 연기를 뿜어?
T_A1_001_0169|[ana]당신들이 용의자란 말 못 들었어, 어딜 자꾸 왔다갔다 하냔 말야!
T_A1_001_0170|[ana]뭐야, 사무실 안 어디에서도 독극물 반응이 없다니, 그렇다면 이걸 어쩐다.
T_A1_001_0171|[ana]누가 더 좋은 걸 고르나, 우리 내기 한번 해볼까요, 자신 없으면 빠지시든가.
T_A1_001_0172|[ana]상대는 괴도라고요 이렇게 아무런 준비도 없이 있다가는 다 털린단 말입니다.
T_A1_001_0173|[ana]이봐, 그렇다고는 해도 괴도가 무서워 행사를 중지시킨다면 우리 경찰 꼴만 우스워지는 거네.
T_A1_001_0174|[ana]잠깐만, 없어, 없어졌어, 그동안 모아 온 증거가 한순간에 다 사라졌다고!
